"genes","logFC","logCPM","LR","PValue","FDR"
"H2scaf75-aug17476",1.6486451582817,0.106924523402569,22.1147714269824,2.56825902172127e-06,0.00061292154500587
"H2scaf1-aug10024",-1.48147846285678,1.73905715063061,21.9291360881201,2.82905885187979e-06,0.000666079907802828
"H2scaf30-aug10782",-1.22556203354218,6.55756636270187,21.9228722847942,2.83830790583926e-06,0.000666079907802828
"H2scaf36-aug22110",1.23702103338162,9.37578150991623,21.7700503396516,3.07360817533278e-06,0.000715337849797905
"H2scaf30-aug10797",-1.05466760379108,7.3355258592828,21.6451697475086,3.28035025396234e-06,0.000751416673295806
"H2scaf52-aug13163",-1.78660635926167,4.12919388590692,21.6442084636711,3.28199463141877e-06,0.000751416673295806
"H2scaf5-aug4889",3.3651017481781,-1.82787238630697,21.5297428720846,3.4838322253331e-06,0.000791195155625849
"H2scaf70-aug18031",1.92327225556985,7.37639317459691,21.4755437475803,3.58370137570222e-06,0.000807364915529201
"H2scaf64-aug14904",1.31476183415041,4.27298422986772,21.4563252707864,3.61979973919863e-06,0.000809025241710893
"H2scaf1-aug10007",-1.02026221575931,5.08837463176009,21.0007529417292,4.59102909873573e-06,0.00101801551535037
"H2scaf30-aug10798",-1.22598686542098,5.13565437132381,20.9806436082116,4.63947132568066e-06,0.00102071993751948
"H2scaf54-aug15511",-2.70738532428364,-1.56343229294816,20.7359979750813,5.27156232081487e-06,0.00115079431408114
"H2scaf30-aug10718",-1.28943821196158,6.67169597560862,20.6451975649965,5.52756605583117e-06,0.00119734640602311
"H2scaf9-aug22712",-3.82980796699998,3.36776285684279,20.630609416893,5.56984408185174e-06,0.00119734640602311
"H2scaf48-aug11547",-1.34652672975894,3.20827075590049,20.4916767660347,5.98911206382045e-06,0.00127772261234279
"H2scaf30-aug10781",-1.00867384881859,4.06397990802273,20.4094182778547,6.25213412235893e-06,0.00132380713548684
"H2scaf141-aug21805",-2.912115965066,-1.76705440332976,20.207232191762,6.94897233109402e-06,0.00146037320758163
"H2scaf36-aug22109",2.00535976736832,-0.841437137771652,20.0315133204175,7.61763882848074e-06,0.00158903945962108
"H2scaf174-aug23266",1.86337782199913,1.72714135354255,19.7440526816661,8.85367800868992e-06,0.00183329725296115
"H2scaf1-aug10017",-1.15701508477021,3.88724633735479,19.6143548470465,9.47546072748647e-06,0.00194772590910034
"H2scaf48-aug11492",3.87999475263339,-2.33587223415865,19.5844812556701,9.62478171056483e-06,0.00196408317211026
"H2scaf22-aug6088",1.86911286208894,3.11734265926403,19.3113741832169,1.11042894493369e-05,0.00224969708764588
"H2scaf123-aug22348",3.39479981325276,-0.148165500224325,19.1075202494757,1.23557072976091e-05,0.00247533226765723
"H2scaf15-aug479",-1.18387813352274,4.58833994513887,19.1016449888809,1.23938017023426e-05,0.00247533226765723
"H2scaf44-aug26841",1.49069242925695,0.250191747242804,18.9824854709105,1.31923870971882e-05,0.00261627333129519
"H2scaf7-aug2091",2.54651578984842,-1.53749898928986,18.9688434645009,1.32870495104998e-05,0.00261661958926703
"H2scaf1-aug9992",-1.13218265252816,5.01770646295913,18.914426605543,1.36714871828361e-05,0.00267363021219338
"H2scaf1228-aug25040",1.7319855368782,-0.477525270031673,18.7494976023498,1.49062622754054e-05,0.00289500173750133
"H2scaf4841-aug26734",1.48167319840987,0.243948494989491,18.7116479038832,1.5205083880751e-05,0.00293281073401253
"H2scaf9-aug22679",1.09460097327633,4.38968542520487,18.6293315168885,1.5875906015712e-05,0.00304136999529568
"H2scaf11-aug7107",2.18482055240537,-0.21528980025084,18.5272795028202,1.67489847453375e-05,0.00318694702306384
"H2scaf3850-aug26480",-2.18439227878745,-0.551798544891183,18.5121408663759,1.68825449021399e-05,0.00319080098650444
"H2scaf82-aug17959",1.7467326612133,4.81693920324175,18.4485237018752,1.74556005137388e-05,0.00327711444044932
"H2scaf30-aug10756",-1.11706367092859,5.87722648000902,18.426170301706,1.76615629108337e-05,0.00327922029775289
"H2scaf96-aug20137",1.71764849302164,0.332673201710049,18.4220590807986,1.76997082936841e-05,0.00327922029775289
"H2scaf1-aug9670",-2.34795126050411,-1.53317920859641,18.3764489658357,1.81284881709386e-05,0.00333670820510982
"H2scaf92-aug18820",2.24254186581653,-1.15388831694435,18.2705859448914,1.91643583970936e-05,0.00350446426506853
"H2scaf81-aug17895",1.73508190059656,0.00868863472170001,18.2114180573786,1.97690114416469e-05,0.00359171052392399
"H2scaf1-aug10033",-1.05685705351642,4.69842068783025,18.1854803493742,2.00400835562859e-05,0.00361762046813184
"H2scaf34-aug7809",-1.46390230737817,0.1101685283968,18.1000553480425,2.0959533856887e-05,0.00375949957289041
"H2scaf1-aug10010",-3.07536746901441,-1.85177805789763,17.9913448602905,2.21911646348374e-05,0.00395522397013706
"H2scaf78-aug20675",-1.35128509764572,1.79228149785667,17.9680636601648,2.24642407602714e-05,0.00397871373616353
"H2scaf30-aug10776",-3.06987494539092,0.266065723697125,17.9329374423307,2.28826562576392e-05,0.0040274905179461
"H2scaf26-aug18164",-1.91404583856371,2.5269798890878,17.8333254716199,2.41122948550101e-05,0.00421755487833504
"H2scaf30-aug10849",-1.16761566469063,4.51520165894021,17.7831449191683,2.47566698843833e-05,0.00430353444823529
